Job Title,Company Name,Location,jobPostRedirectUrl,skills List
Sustainability Data Scientist,Tricon Energy,"Houston, TX (Hybrid)",https://www.linkedin.com//jobs/view/3760414018/?eBP=CwEAAAGMHu62_MHKvCwF6BsgCgbPz3Frg2EMnDUZAWhuSxOsQsKTKjZylHOZri3OIm29OLi4udXUda22LsEWDw3THhGOErBnhOEucOUJEQRMW08FV23AY_URpM9C7CLo5HHxSG7XBn4VrIw9ci5KmdHNgxaAqLs9v7Y_31AE892O2GkbW2ZjkiVikIuitsDNinK98U4wpD7J5ndiK8-0LIomPZvTnRaxbia9KiZs1UDfTAdxiLToTSjHhXPGxvw9FXdKxV5vlelfOIXONehilqXQm1DQcJvfDQCfKimAt-Q6v9m0HHxBbI2d4sqEVUVgtxeXKqhEaSQGy27saNRSt-KqPWHcY3yHsWqEUpN-8bpN1AWuuQsrt-tn4_FbJZOCA5hv_3SzDcHoWQ&refId=yRuaQO%2B1wbNQo8g5pfTNgg%3D%3D&trackingId=pERUhFFcDLH7h5F5uFvJsA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataScience', 'Python(ProgrammingLanguage)', 'AnalyticalSkills', 'DataModeling', 'MicrosoftAzure', 'ProblemSolving', 'ProjectManagement', 'ResearchSkills', 'SharePoint', 'SustainabilityData', '']"
Data Scientist,HCLTech,United States (Remote),https://www.linkedin.com//jobs/view/3775635396/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yRuaQO%2B1wbNQo8g5pfTNgg%3D%3D&trackingId=d5RsnIetTj8JQ7osgB1pHg%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerEngineering', 'ComputerScience', 'DataScience', 'Troubleshooting', 'AnalyticalSkills', 'CollaborationTools', 'Communication', 'Extract', 'Transform', 'Load(ETL)', 'OralCommunication', 'ProblemSolving', '']"
Data Scientist (L5) - Member Product,Netflix,United States (Remote),https://www.linkedin.com//jobs/view/3774920311/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yRuaQO%2B1wbNQo8g5pfTNgg%3D%3D&trackingId=PdSHW4RqlkIMjHK%2Bt8%2BVpw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataScience', 'DataVisualization', 'SQL', 'Communication', 'Mathematics', 'PredictiveAnalytics', 'ProblemSolving', 'R(ProgrammingLanguage)', 'StatisticalDataAnalysis', 'StatisticalProgramming', '']"
"Business Data Scientist, Early Career (2024)",Figma,"San Francisco, CA (Hybrid)",https://www.linkedin.com//jobs/view/3762683180/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yRuaQO%2B1wbNQo8g5pfTNgg%3D%3D&trackingId=wIvPlfST%2FVzZaSbgl%2Fc4kQ%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'DataScience', 'Python(ProgrammingLanguage)', 'AnalyticalSkills', 'Communication', 'Compensation', 'Economics', 'EmployeeBenefits', 'KnowledgeAcquisition', 'Teamwork', '']"
Data Scientist,ascena,United States (Remote),https://www.linkedin.com//jobs/view/3675232968/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yRuaQO%2B1wbNQo8g5pfTNgg%3D%3D&trackingId=4L%2FW7555nGfrCUY8XXa5Mw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'DataAnalytics', 'DataScience', 'NaturalLanguageProcessing(NLP)', 'SQL', 'AnalyticProblemSolving', 'AnalyticalSolutions', 'Analytics', 'Communication', 'DataAnalysis', '']"
"Data Scientist I, Revenue",Tinder,"West Hollywood, CA (Hybrid)",https://www.linkedin.com//jobs/view/3757776367/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yRuaQO%2B1wbNQo8g5pfTNgg%3D%3D&trackingId=nk3axRGhaW66UMlNnVxN%2FQ%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataAnalytics', 'DataScience', 'ApacheSpark', 'BusinessUnderstanding', 'DataAnalysis', 'Datasets', 'OnlineDating', 'PredictiveAnalytics', 'R(ProgrammingLanguage)', 'Scripting', '']"
"Data Scientist, Machine Learning",GoHealth,"Illinois, United States (Hybrid)",https://www.linkedin.com//jobs/view/3712631961/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yRuaQO%2B1wbNQo8g5pfTNgg%3D%3D&trackingId=TC%2Bw5r5u86YYWrvraBcYog%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataEngineering', 'DataScience', 'DeepLearning', 'NaturalLanguageProcessing(NLP)', 'SQL', 'ClusterAnalysis', 'GoogleCloudPlatform(GCP)', 'MLOps', 'PredictiveAnalytics', 'StatisticalDataAnalysis', '']"
"Data Scientist, Product",Figma,"San Francisco, CA",https://www.linkedin.com//jobs/view/3774909326/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=6vRnN16jDdOu%2BHSOcXdzCg%3D%3D&trackingId=HdzZ5Hl8evtPxamG4tu%2F0A%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataScience', 'Python(ProgrammingLanguage)', 'CausalInference', 'CreativeProblemSolving', 'ExperimentalDesign', 'PredictiveAnalytics', 'ProblemSolving', 'R(ProgrammingLanguage)', 'Scripting', 'StatisticalModeling', '']"
Remote Data Scientist/Analyst (Entry/Junior Level),SynergisticIT,"Huntington Beach, CA (Remote)",https://www.linkedin.com//jobs/view/3767594211/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=6vRnN16jDdOu%2BHSOcXdzCg%3D%3D&trackingId=%2Ff4JQE2VeyU%2B6hkcUtGnzQ%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'CoreJava', 'DataAnalytics', 'DataScience', 'DataVisualization', 'Java', 'Programming', 'ProgrammingLanguages', 'SoftwareDevelopment', 'Stack', '']"
Junior Programmer/Data Scientist/Analyst/Engineer,SynergisticIT,"Irvine, CA (Remote)",https://www.linkedin.com//jobs/view/3772695925/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=6vRnN16jDdOu%2BHSOcXdzCg%3D%3D&trackingId=EFG0e5EndMMN0fck1pA5EA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'C++', 'CoreJava', 'DataMining', 'Java', 'JavaScript', 'Python(ProgrammingLanguage)', 'RESTAPIs', 'SpringBoot', 'Communication', 'TensorFlow', '']"
Entry Level Python Programmer/Data scientist/Analyst (Remote),SynergisticIT,"Chicago, IL (Remote)",https://www.linkedin.com//jobs/view/3767594152/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=6vRnN16jDdOu%2BHSOcXdzCg%3D%3D&trackingId=uint6kI4xU1KmvatM2%2FCgA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'DataScience', 'Java', 'Microservices', 'Programming', 'ProgrammingLanguages', 'RESTAPIs', 'SoftwareDevelopment', 'Cracking', 'Shortlisting', '']"
